"Search Key","Name","Description","Account Type","Account Sign","Document Controlled","Summary Level","Default Account","Parent_Value","Element Level","Operands","Show Value Condition","Title Node"
2813,"Amortización acumulada de maquinaria","Amortización acumulada de maquinaria","Asset","Debit","N","Y",,"281B","D",,"Algebraic","N"
28130,"Amortización acumulada de maquinaria","Amortización acumulada de maquinaria","Asset","Debit","N","N",,2813,"S",,"Algebraic","N"
2814,"Amortización acumulada de utillaje","Amortización acumulada de utillaje","Asset","Debit","N","Y",,"281B","D",,"Algebraic","N"
28140,"Amortización acumulada de utillaje","Amortización acumulada de utillaje","Asset","Debit","N","N",,2814,"S",,"Algebraic","N"
2815,"Amortización acumulada de otras instalaciones","Amortización acumulada de otras instalaciones","Asset","Debit","N","Y",,"281B","D",,"Algebraic","N"
28150,"Amortización acumulada de otras instalaciones","Amortización acumulada de otras instalaciones","Asset","Debit","N","N",,2815,"S",,"Algebraic","N"
2816,"Amortización acumulada de mobiliario","Amortización acumulada de mobiliario","Asset","Debit","N","Y",,"281B","D",,"Algebraic","N"
28160,"Amortización acumulada de mobiliario","Amortización acumulada de mobiliario","Asset","Debit","N","N",,2816,"S",,"Algebraic","N"
2817,"Amortización acumulada de equipos para procesos de información","Amortización acumulada de equipos para procesos de información","Asset","Debit","N","Y",,"281B","D",,"Algebraic","N"
28170,"Amortización acumulada de equipos para procesos de información","Amortización acumulada de equipos para procesos de información","Asset","Debit","N","N",,2817,"S",,"Algebraic","N"
2818,"Amortización acumulada de elementos de transporte","Amortización acumulada de elementos de transporte","Asset","Debit","N","Y",,"281B","D",,"Algebraic","N"
28180,"Amortización acumulada de elementos de transporte","Amortización acumulada de elementos de transporte","Asset","Debit","N","N",,2818,"S",,"Algebraic","N"
2819,"Amortización acumulada de otro inmovilizado material","Amortización acumulada de otro inmovilizado material","Asset","Debit","N","Y",,"281B","D",,"Algebraic","N"
28190,"Amortización acumulada de otro inmovilizado material","Amortización acumulada de otro inmovilizado material","Asset","Debit","N","N",,2819,"S",,"Algebraic","N"
"291B","Deterioro de valor del inmovilizado material","Deterioro de valor del inmovilizado material","Asset","Debit","N","Y",,"A.A.II.2","C",,"Algebraic","N"
