"Search Key","Name","Description","Account Type","Account Sign","Document Controlled","Summary Level","Default Account","Parent_Value","Element Level","Operands","Show Value Condition","Title Node"
"3410B","Productos semiterminados B (Ciclo Corto de Producción)","Productos semiterminados B (Ciclo Corto de Producción)","Asset","Debit","N","Y",,"341B","D",,"Algebraic","N"
34100,"Productos semiterminados B (Ciclo Corto de Producción)","Productos semiterminados B (Ciclo Corto de Producción)","Asset","Debit","N","N",,"3410B","S",,"Algebraic","N"
"393B","Deterioro de valor de los productos en curso (Ciclo Corto de Producción)","Deterioro de valor de los productos en curso (Ciclo Corto de Producción)","Asset","Debit","N","Y",,"A.B.II.3B","C",,"Algebraic","N"
"3930B","Deterioro de valor de los productos en curso (Ciclo Corto de Producción)","Deterioro de valor de los productos en curso (Ciclo Corto de Producción)","Asset","Debit","N","Y",,"393B","D",,"Algebraic","N"
39300,"Deterioro de valor de los productos en curso (Ciclo Corto de Producción)","Deterioro de valor de los productos en curso (Ciclo Corto de Producción)","Asset","Debit","N","N",,"3930B","S",,"Algebraic","N"
"394B","Deterioro de valor de los productos semiterminados (Ciclo Corto de Producción)","Deterioro de valor de los productos semiterminados (Ciclo Corto de Producción)","Asset","Debit","N","Y",,"A.B.II.3B","C",,"Algebraic","N"
"3940B","Deterioro de valor de los productos semiterminados (Ciclo Corto de Producción)","Deterioro de valor de los productos semiterminados (Ciclo Corto de Producción)","Asset","Debit","N","Y",,"394B","D",,"Algebraic","N"
39400,"Deterioro de valor de los productos semiterminados (Ciclo Corto de Producción)","Deterioro de valor de los productos semiterminados (Ciclo Corto de Producción)","Asset","Debit","N","N",,"3940B","S",,"Algebraic","N"
"A.B.II.4","4. PRODUCTOS TERMINADOS","4. PRODUCTOS TERMINADOS","Asset","Debit","N","Y",,"A.B.II","E",,"Algebraic","N"
"A.B.II.4A","A) DE CICLO LARGO DE PRODUCCIÓN","A) DE CICLO LARGO DE PRODUCCIÓN","Asset","Debit","N","Y",,"A.B.II.4","E",,"Algebraic","N"
"350A","Productos terminados A (Ciclo Largo de Producción)","Productos terminados A (Ciclo Largo de Producción)","Asset","Debit","N","Y",,"A.B.II.4A","C",,"Algebraic","N"
"3500A","Productos terminados A (Ciclo Largo de Producción)","Productos terminados A (Ciclo Largo de Producción)","Asset","Debit","N","Y",,"350A","D",,"Algebraic","N"
35001,"Productos terminados A (Ciclo Largo de Producción)","Productos terminados A (Ciclo Largo de Producción)","Asset","Debit","N","N",,"3500A","S",,"Algebraic","N"
"351A","Productos terminados B (Ciclo Largo de Producción)","Productos terminados B (Ciclo Largo de Producción)","Asset","Debit","N","Y",,"A.B.II.4A","C",,"Algebraic","N"
"3510A","Productos terminados B (Ciclo Largo de Producción)","Productos terminados B (Ciclo Largo de Producción)","Asset","Debit","N","Y",,"351A","D",,"Algebraic","N"
35101,"Productos terminados B (Ciclo Largo de Producción)","Productos terminados B (Ciclo Largo de Producción)","Asset","Debit","N","N",,"3510A","S",,"Algebraic","N"
"395A","Deterioro de valor de los productos terminados (Ciclo Largo de Producción)","Deterioro de valor de los productos terminados (Ciclo Largo de Producción)","Asset","Debit","N","Y",,"A.B.II.4A","C",,"Algebraic","N"
"3950A","Deterioro de valor de los productos terminados (Ciclo Largo de Producción)","Deterioro de valor de los productos terminados (Ciclo Largo de Producción)","Asset","Debit","N","Y",,"395A","D",,"Algebraic","N"
39501,"Deterioro de valor de los productos terminados (Ciclo Largo de Producción)","Deterioro de valor de los productos terminados (Ciclo Largo de Producción)","Asset","Debit","N","N",,"3950A","S",,"Algebraic","N"
"A.B.II.4B","B) DE CICLO CORTO DE PRODUCCIÓN","B) DE CICLO CORTO DE PRODUCCIÓN","Asset","Debit","N","Y",,"A.B.II.4","E",,"Algebraic","N"
"350B","Productos terminados A (Ciclo Corto de Producción)","Productos terminados A (Ciclo Corto de Producción)","Asset","Debit","N","Y",,"A.B.II.4B","C",,"Algebraic","N"
"3500B","Productos terminados A (Ciclo Corto de Producción)","Productos terminados A (Ciclo Corto de Producción)","Asset","Debit","N","Y",,"350B","D",,"Algebraic","N"
35000,"Productos terminados A (Ciclo Corto de Producción)","Productos terminados A (Ciclo Corto de Producción)","Asset","Debit","Y","N","P_ASSET_ACCT","3500B","S",,"Algebraic","N"
"351B","Productos terminados B (Ciclo Corto de Producción)","Productos terminados B (Ciclo Corto de Producción)","Asset","Debit","N","Y",,"A.B.II.4B","C",,"Algebraic","N"
"3510B","Productos terminados B (Ciclo Corto de Producción)","Productos terminados B (Ciclo Corto de Producción)","Asset","Debit","N","Y",,"351B","D",,"Algebraic","N"
35100,"Productos terminados B (Ciclo Corto de Producción)","Productos terminados B (Ciclo Corto de Producción)","Asset","Debit","N","N",,"3510B","S",,"Algebraic","N"
"395B","Deterioro de valor de los productos terminados (Ciclo Corto de Producción)","Deterioro de valor de los productos terminados (Ciclo Corto de Producción)","Asset","Debit","N","Y",,"A.B.II.4B","C",,"Algebraic","N"
"3950B","Deterioro de valor de los productos terminados (Ciclo Corto de Producción)","Deterioro de valor de los productos terminados (Ciclo Corto de Producción)","Asset","Debit","N","Y",,"395B","D",,"Algebraic","N"
39500,"Deterioro de valor de los productos terminados (Ciclo Corto de Producción)","Deterioro de valor de los productos terminados (Ciclo Corto de Producción)","Asset","Debit","N","N",,"3950B","S",,"Algebraic","N"
"A.B.II.5","5. SUBPRODUCTOS. RESIDUOS Y MATERIALES RECUPERADOS","5. SUBPRODUCTOS. RESIDUOS Y MATERIALES RECUPERADOS","Asset","Debit","N","Y",,"A.B.II","E",,"Algebraic","N"
360,"Subproductos A","Subproductos A","Asset","Debit","N","Y",,"A.B.II.5","C",,"Algebraic","N"
3600,"Subproductos A","Subproductos A","Asset","Debit","N","Y",,360,"D",,"Algebraic","N"
36000,"Subproductos A","Subproductos A","Asset","Debit","N","N",,3600,"S",,"Algebraic","N"
361,"Subproductos B","Subproductos B","Asset","Debit","N","Y",,"A.B.II.5","C",,"Algebraic","N"
3610,"Subproductos B","Subproductos B","Asset","Debit","N","Y",,361,"D",,"Algebraic","N"
36100,"Subproductos B","Subproductos B","Asset","Debit","N","N",,3610,"S",,"Algebraic","N"
365,"Residuos A","Residuos A","Asset","Debit","N","Y",,"A.B.II.5","C",,"Algebraic","N"
3650,"Residuos A","Residuos A","Asset","Debit","N","Y",,365,"D",,"Algebraic","N"
36500,"Residuos A","Residuos A","Asset","Debit","N","N",,3650,"S",,"Algebraic","N"
366,"Residuos B","Residuos B","Asset","Debit","N","Y",,"A.B.II.5","C",,"Algebraic","N"
3660,"Residuos B","Residuos B","Asset","Debit","N","Y",,366,"D",,"Algebraic","N"
36600,"Residuos B","Residuos B","Asset","Debit","N","N",,3660,"S",,"Algebraic","N"
368,"Materiales recuperados A","Materiales recuperados A","Asset","Debit","N","Y",,"A.B.II.5","C",,"Algebraic","N"
3680,"Materiales recuperados A","Materiales recuperados A","Asset","Debit","N","Y",,368,"D",,"Algebraic","N"
36800,"Materiales recuperados A","Materiales recuperados A","Asset","Debit","N","N",,3680,"S",,"Algebraic","N"
369,"Materiales recuperados B","Materiales recuperados B","Asset","Debit","N","Y",,"A.B.II.5","C",,"Algebraic","N"
3690,"Materiales recuperados B","Materiales recuperados B","Asset","Debit","N","Y",,369,"D",,"Algebraic","N"
36900,"Materiales recuperados B","Materiales recuperados B","Asset","Debit","N","N",,3690,"S",,"Algebraic","N"
396,"Deterioro de valor de los subproductos. residuos y materiales recuperados","Deterioro de valor de los subproductos. residuos y materiales recuperados","Asset","Debit","N","Y",,"A.B.II.5","C",,"Algebraic","N"
3960,"Deterioro de valor de los subproductos. residuos y materiales recuperados","Deterioro de valor de los subproductos. residuos y materiales recuperados","Asset","Debit","N","Y",,396,"D",,"Algebraic","N"
39600,"Deterioro de valor de los subproductos. residuos y materiales recuperados","Deterioro de valor de los subproductos. residuos y materiales recuperados","Asset","Debit","N","N",,3960,"S",,"Algebraic","N"
"A.B.II.6","6. ANTICIPOS A PROVEEDORES","6. ANTICIPOS A PROVEEDORES","Asset","Debit","N","Y",,"A.B.II","E",,"Algebraic","N"
407,"Anticipos a proveedores","Anticipos a proveedores","Asset","Debit","N","Y",,"A.B.II.6","C",,"Algebraic","N"
4070,"Anticipos a proveedores","Anticipos a proveedores","Asset","Debit","N","Y",,407,"D",,"Algebraic","N"
40700,"Anticipos a proveedores","Anticipos a proveedores","Asset","Debit","N","N",,4070,"S",,"Algebraic","N"
"A.B.III","III. DEUDORES COMERCIALES Y OTRAS CUENTAS POR COBRAR","III. DEUDORES COMERCIALES Y OTRAS CUENTAS POR COBRAR","Asset","Debit","N","Y",,"A.B","E",,"Algebraic","N"
"A.B.III.1","1. CLIENTES POR VENTAS Y PRESTACIONES DE SERVICIOS","1. CLIENTES POR VENTAS Y PRESTACIONES DE SERVICIOS","Asset","Debit","N","Y",,"A.B.III","E",,"Algebraic","N"
"A.B.III.1A","A) CLIENTES POR VENTAS Y PRESTACIONES DE SERVICIOS A LARGO PLAZO","1. CLIENTES POR VENTAS Y PRESTACIONES DE SERVICIOS A LARGO PLAZO","Asset","Debit","N","Y",,"A.B.III.1","E",,"Algebraic","N"
"430A","Clientes (largo plazo)","Clientes (largo plazo)","Asset","Debit","N","Y",,"A.B.III.1A","C",,"Algebraic","N"
"4300A","Clientes (euros) (largo plazo)","Clientes (euros) (largo plazo)","Asset","Debit","N","Y",,"430A","D",,"Algebraic","N"
43001,"Clientes (euros) (largo plazo)","Clientes (euros) (largo plazo)","Asset","Debit","N","N",,"4300A","S",,"Algebraic","N"
"4304A","Clientes (moneda extranjera) (corto plazo)","Clientes (moneda extranjera) (corto plazo)","Asset","Debit","N","Y",,"430A","D",,"Algebraic","N"
43041,"Clientes (moneda extranjera) (largo plazo)","Clientes (moneda extranjera) (largo plazo)","Asset","Debit","N","N",,"4304A","S",,"Algebraic","N"
"4309A","Clientes. facturas pendientes de formalizar (largo plazo)","Clientes. facturas pendientes de formalizar (largo plazo)","Asset","Debit","N","Y",,"430A","D",,"Algebraic","N"
43091,"Clientes. facturas pendientes de formalizar (largo plazo)","Clientes. facturas pendientes de formalizar (largo plazo)","Asset","Debit","N","N",,"4309A","S",,"Algebraic","N"
"431A","Clientes. efectos comerciales a cobrar (largo plazo)","Clientes. efectos comerciales a cobrar (largo plazo)","Asset","Debit","N","Y",,"A.B.III.1A","C",,"Algebraic","N"
"4310A","Efectos comerciales en cartera (largo plazo)","Efectos comerciales en cartera (largo plazo)","Asset","Debit","N","Y",,"431A","D",,"Algebraic","N"
43101,"Efectos comerciales en cartera (largo plazo)","Efectos comerciales en cartera (largo plazo)","Asset","Debit","N","N",,"4310A","S",,"Algebraic","N"
"4311A","Efectos comerciales descontados (largo plazo)","Efectos comerciales descontados (largo plazo)","Asset","Debit","N","Y",,"431A","D",,"Algebraic","N"
43111,"Efectos comerciales descontados (largo plazo)","Efectos comerciales descontados (largo plazo)","Asset","Debit","N","N",,"4311A","S",,"Algebraic","N"
"4312A","Efectos comerciales en gestión de cobro (largo plazo)","Efectos comerciales en gestión de cobro (largo plazo)","Asset","Debit","N","Y",,"431A","D",,"Algebraic","N"
43121,"Efectos comerciales en gestión de cobro (largo plazo)","Efectos comerciales en gestión de cobro (largo plazo)","Asset","Debit","N","N",,"4312A","S",,"Algebraic","N"
"4315A","Efectos comerciales impagados (largo plazo)","Efectos comerciales impagados (largo plazo)","Asset","Debit","N","Y",,"431A","D",,"Algebraic","N"
43151,"Efectos comerciales impagados (largo plazo)","Efectos comerciales impagados (largo plazo)","Asset","Debit","N","N",,"4315A","S",,"Algebraic","N"
"432A","Clientes. operaciones de “factoring” (largo plazo)","Clientes. operaciones de “factoring” (largo plazo)","Asset","Debit","N","Y",,"A.B.III.1A","C",,"Algebraic","N"
"4320A","Clientes. operaciones de “factoring” (largo plazo)","Clientes. operaciones de “factoring” (largo plazo)","Asset","Debit","N","Y",,"432A","D",,"Algebraic","N"
43201,"Clientes. operaciones de “factoring” (largo plazo)","Clientes. operaciones de “factoring” (largo plazo)","Asset","Debit","N","N",,"4320A","S",,"Algebraic","N"
"435A","Clientes. otras partes vinculadas (largo plazo)","Clientes. otras partes vinculadas (largo plazo)","Asset","Debit","N","Y",,"A.B.III.1A","C",,"Algebraic","N"
"4350A","Clientes. otras partes vinculadas (largo plazo)","Clientes. otras partes vinculadas (largo plazo)","Asset","Debit","N","Y",,"435A","D",,"Algebraic","N"
43501,"Clientes. otras partes vinculadas (largo plazo)","Clientes. otras partes vinculadas (largo plazo)","Asset","Debit","N","N",,"4350A","S",,"Algebraic","N"
"436A","Clientes de dudoso cobro (largo plazo)","Clientes de dudoso cobro (largo plazo)","Asset","Debit","N","Y",,"A.B.III.1A","C",,"Algebraic","N"
"4360A","Clientes de dudoso cobro (largo plazo)","Clientes de dudoso cobro (largo plazo)","Asset","Debit","N","Y",,"436A","D",,"Algebraic","N"
43601,"Clientes de dudoso cobro (largo plazo)","Clientes de dudoso cobro (largo plazo)","Asset","Debit","N","N",,"4360A","S",,"Algebraic","N"
"437A","Envases y embalajes a devolver por clientes (largo plazo)","Envases y embalajes a devolver por clientes (largo plazo)","Asset","Debit","N","Y",,"A.B.III.1A","C",,"Algebraic","N"
"4370A","Envases y embalajes a devolver por clientes (largo plazo)","Envases y embalajes a devolver por clientes (largo plazo)","Asset","Debit","N","Y",,"437A","D",,"Algebraic","N"
43701,"Envases y embalajes a devolver por clientes (largo plazo)","Envases y embalajes a devolver por clientes (largo plazo)","Asset","Debit","N","N",,"4370A","S",,"Algebraic","N"
"490A","Deterioro de valor de créditos por operaciones comerciales (largo plazo)","Deterioro de valor de créditos por operaciones comerciales (largo plazo)","Asset","Debit","N","Y",,"A.B.III.1A","C",,"Algebraic","N"
"4900A","Deterioro de valor de créditos por operaciones comerciales (largo plazo)","Deterioro de valor de créditos por operaciones comerciales (largo plazo)","Asset","Debit","N","Y",,"490A","D",,"Algebraic","N"
49001,"Deterioro de valor de créditos por operaciones comerciales (largo plazo)","Deterioro de valor de créditos por operaciones comerciales (largo plazo)","Asset","Debit","N","N",,"4900A","S",,"Algebraic","N"
"493C","Deterioro de valor de créditos por operaciones comerciales con partes vinculadas (largo plazo)","Deterioro de valor de créditos por operaciones comerciales con partes vinculadas (largo plazo)","Asset","Debit","N","Y",,"A.B.III.1A","C",,"Algebraic","N"
"4935A","Deterioro de valor de créditos por operaciones comerciales con otras partes vinculadas (largo plazo)","Deterioro de valor de créditos por operaciones comerciales con otras partes vinculadas (largo plazo)","Asset","Debit","N","Y",,"493C","D",,"Algebraic","N"
49351,"Deterioro de valor de créditos por operaciones comerciales con otras partes vinculadas (largo plazo)","Deterioro de valor de créditos por operaciones comerciales con otras partes vinculadas (largo plazo)","Asset","Debit","N","N",,"4935A","S",,"Algebraic","N"
"A.B.III.1B","B) CLIENTES POR VENTAS Y PRESTACIONES DE SERVICIOS A CORTO PLAZO","1. CLIENTES POR VENTAS Y PRESTACIONES DE SERVICIOS A CORTO PLAZO","Asset","Debit","N","Y",,"A.B.III.1","E",,"Algebraic","N"
"430B","Clientes (corto plazo)","Clientes (corto plazo)","Asset","Debit","N","Y",,"A.B.III.1B","C",,"Algebraic","N"
"4300B","Clientes (euros) (corto plazo)","Clientes (euros) (corto plazo)","Asset","Debit","N","Y",,"430B","D",,"Algebraic","N"
43000,"Clientes (euros) (corto plazo)","Clientes (euros) (corto plazo)","Asset","Debit","Y","N","C_RECEIVABLE_ACCT","4300B","S",,"Algebraic","N"
"4304B","Clientes (moneda extranjera) (corto plazo)","Clientes (moneda extranjera) (corto plazo)","Asset","Debit","N","Y",,"430B","D",,"Algebraic","N"
43040,"Clientes (moneda extranjera) (corto plazo)","Clientes (moneda extranjera) (corto plazo)","Asset","Debit","N","N",,"4304B","S",,"Algebraic","N"
"4309B","Clientes. facturas pendientes de formalizar (corto plazo)","Clientes. facturas pendientes de formalizar (corto plazo)","Asset","Debit","N","Y",,"430B","D",,"Algebraic","N"
43090,"Clientes. facturas pendientes de formalizar (corto plazo)","Clientes. facturas pendientes de formalizar (corto plazo)","Asset","Debit","N","N",,"4309B","S",,"Algebraic","N"
"431B","Clientes. efectos comerciales a cobrar (corto plazo)","Clientes. efectos comerciales a cobrar (corto plazo)","Asset","Debit","N","Y",,"A.B.III.1B","C",,"Algebraic","N"
"4310B","Efectos comerciales en cartera (corto plazo)","Efectos comerciales en cartera (corto plazo)","Asset","Debit","N","Y",,"431B","D",,"Algebraic","N"
43100,"Efectos comerciales en cartera (corto plazo)","Efectos comerciales en cartera (corto plazo)","Asset","Debit","N","N",,"4310B","S",,"Algebraic","N"
"4311B","Efectos comerciales descontados (corto plazo)","Efectos comerciales descontados (corto plazo)","Asset","Debit","N","Y",,"431B","D",,"Algebraic","N"
43110,"Efectos comerciales descontados (corto plazo)","Efectos comerciales descontados (corto plazo)","Asset","Debit","N","N",,"4311B","S",,"Algebraic","N"
"4312B","Efectos comerciales en gestión de cobro (corto plazo)","Efectos comerciales en gestión de cobro (corto plazo)","Asset","Debit","N","Y",,"431B","D",,"Algebraic","N"
43120,"Efectos comerciales en gestión de cobro (corto plazo)","Efectos comerciales en gestión de cobro (corto plazo)","Asset","Debit","N","N",,"4312B","S",,"Algebraic","N"
"4315B","Efectos comerciales impagados (corto plazo)","Efectos comerciales impagados (corto plazo)","Asset","Debit","N","Y",,"431B","D",,"Algebraic","N"
43150,"Efectos comerciales impagados (corto plazo)","Efectos comerciales impagados (corto plazo)","Asset","Debit","N","N",,"4315B","S",,"Algebraic","N"
"432B","Clientes. operaciones de “factoring” (corto plazo)","Clientes. operaciones de “factoring” (corto plazo)","Asset","Debit","N","Y",,"A.B.III.1B","C",,"Algebraic","N"
"4320B","Clientes. operaciones de “factoring” (corto plazo)","Clientes. operaciones de “factoring” (corto plazo)","Asset","Debit","N","Y",,"432B","D",,"Algebraic","N"
43200,"Clientes. operaciones de “factoring” (corto plazo)","Clientes. operaciones de “factoring” (corto plazo)","Asset","Debit","N","N",,"4320B","S",,"Algebraic","N"
"435B","Clientes. otras partes vinculadas (corto plazo)","Clientes. otras partes vinculadas (corto plazo)","Asset","Debit","N","Y",,"A.B.III.1B","C",,"Algebraic","N"
"4350B","Clientes. otras partes vinculadas (corto plazo)","Clientes. otras partes vinculadas (corto plazo)","Asset","Debit","N","Y",,"435B","D",,"Algebraic","N"
43500,"Clientes. otras partes vinculadas (corto plazo)","Clientes. otras partes vinculadas (corto plazo)","Asset","Debit","N","N",,"4350B","S",,"Algebraic","N"
"436B","Clientes de dudoso cobro (corto plazo)","Clientes de dudoso cobro (corto plazo)","Asset","Debit","N","Y",,"A.B.III.1B","C",,"Algebraic","N"
"4360B","Clientes de dudoso cobro (corto plazo)","Clientes de dudoso cobro (corto plazo)","Asset","Debit","N","Y",,"436B","D",,"Algebraic","N"
43600,"Clientes de dudoso cobro (corto plazo)","Clientes de dudoso cobro (corto plazo)","Asset","Debit","N","N",,"4360B","S",,"Algebraic","N"
"437B","Envases y embalajes a devolver por clientes (corto plazo)","Envases y embalajes a devolver por clientes (corto plazo)","Asset","Debit","N","Y",,"A.B.III.1B","C",,"Algebraic","N"
"4370B","Envases y embalajes a devolver por clientes (corto plazo)","Envases y embalajes a devolver por clientes (corto plazo)","Asset","Debit","N","Y",,"437B","D",,"Algebraic","N"
43700,"Envases y embalajes a devolver por clientes (corto plazo)","Envases y embalajes a devolver por clientes (corto plazo)","Asset","Debit","N","N",,"4370B","S",,"Algebraic","N"
"490B","Deterioro de valor de créditos por operaciones comerciales (corto plazo)","Deterioro de valor de créditos por operaciones comerciales (corto plazo)","Asset","Debit","N","Y",,"A.B.III.1B","C",,"Algebraic","N"
"4900B","Deterioro de valor de créditos por operaciones comerciales (corto plazo)","Deterioro de valor de créditos por operaciones comerciales (corto plazo)","Asset","Debit","N","Y",,"490B","D",,"Algebraic","N"
49000,"Deterioro de valor de créditos por operaciones comerciales (corto plazo)","Deterioro de valor de créditos por operaciones comerciales (corto plazo)","Asset","Debit","N","N",,"4900B","S",,"Algebraic","N"
"493A","Deterioro de valor de créditos por operaciones comerciales con partes vinculadas (corto plazo)","Deterioro de valor de créditos por operaciones comerciales con partes vinculadas (corto plazo)","Asset","Debit","N","Y",,"A.B.III.1B","C",,"Algebraic","N"
"4935B","Deterioro de valor de créditos por operaciones comerciales con otras partes vinculadas (corto plazo)","Deterioro de valor de créditos por operaciones comerciales con otras partes vinculadas (corto plazo)","Asset","Debit","N","Y",,"493A","D",,"Algebraic","N"
49350,"Deterioro de valor de créditos por operaciones comerciales con otras partes vinculadas","Deterioro de valor de créditos por operaciones comerciales con otras partes vinculadas","Asset","Debit","N","N",,"4935B","S",,"Algebraic","N"
"A.B.III.2","2. CLIENTES. EMPRESAS DEL GRUPO Y ASOCIADAS","2. CLIENTES. EMPRESAS DEL GRUPO Y ASOCIADAS","Asset","Debit","N","Y",,"A.B.III","E",,"Algebraic","N"
433,"Clientes. empresas del grupo","Clientes. empresas del grupo","Asset","Debit","N","Y",,"A.B.III.2","C",,"Algebraic","N"
4330,"Clientes empresas del grupo (euros)","Clientes empresas del grupo (euros)","Asset","Debit","N","Y",,433,"D",,"Algebraic","N"
43300,"Clientes empresas del grupo (euros)","Clientes empresas del grupo (euros)","Asset","Debit","N","N",,4330,"S",,"Algebraic","N"
4331,"Efectos comerciales a cobrar. empresas del grupo","Efectos comerciales a cobrar. empresas del grupo","Asset","Debit","N","Y",,433,"D",,"Algebraic","N"
43310,"Efectos comerciales a cobrar. empresas del grupo","Efectos comerciales a cobrar. empresas del grupo","Asset","Debit","N","N",,4331,"S",,"Algebraic","N"
4332,"Clientes empresas del grupo. operaciones de “factoring”","Clientes empresas del grupo. operaciones de “factoring”","Asset","Debit","N","Y",,433,"D",,"Algebraic","N"
43320,"Clientes empresas del grupo. operaciones de “factoring”","Clientes empresas del grupo. operaciones de “factoring”","Asset","Debit","N","N",,4332,"S",,"Algebraic","N"
4334,"Clientes empresas del grupo (moneda extranjera)","Clientes empresas del grupo (moneda extranjera)","Asset","Debit","N","Y",,433,"D",,"Algebraic","N"
43340,"Clientes empresas del grupo (moneda extranjera)","Clientes empresas del grupo (moneda extranjera)","Asset","Debit","N","N",,4334,"S",,"Algebraic","N"
4336,"Clientes empresas del grupo de dudoso cobro","Clientes empresas del grupo de dudoso cobro","Asset","Debit","N","Y",,433,"D",,"Algebraic","N"
43360,"Clientes empresas del grupo de dudoso cobro","Clientes empresas del grupo de dudoso cobro","Asset","Debit","N","N",,4336,"S",,"Algebraic","N"
4337,"Envases y embalajes a devolver a clientes. empresas del grupo","Envases y embalajes a devolver a clientes. empresas del grupo","Asset","Debit","N","Y",,433,"D",,"Algebraic","N"
43370,"Envases y embalajes a devolver a clientes. empresas del grupo","Envases y embalajes a devolver a clientes. empresas del grupo","Asset","Debit","N","N",,4337,"S",,"Algebraic","N"
4339,"Clientes empresas del grupo. facturas pendientes de formalizar","Clientes empresas del grupo. facturas pendientes de formalizar","Asset","Debit","N","Y",,433,"D",,"Algebraic","N"
43390,"Clientes empresas del grupo. facturas pendientes de formalizar","Clientes empresas del grupo. facturas pendientes de formalizar","Asset","Debit","N","N",,4339,"S",,"Algebraic","N"
434,"Clientes. empresas asociadas","Clientes. empresas asociadas","Asset","Debit","N","Y",,"A.B.III.2","C",,"Algebraic","N"
4340,"Clientes. empresas asociadas","Clientes. empresas asociadas","Asset","Debit","N","Y",,434,"D",,"Algebraic","N"
43400,"Clientes. empresas asociadas","Clientes. empresas asociadas","Asset","Debit","N","N",,4340,"S",,"Algebraic","N"
"493B","Deterioro de valor de créditos por operaciones comerciales con partes vinculadas","Deterioro de valor de créditos por operaciones comerciales con partes vinculadas","Asset","Debit","N","Y",,"A.B.III.2","C",,"Algebraic","N"
4933,"Deterioro de valor de créditos por operaciones comerciales con empresas del grupo","Deterioro de valor de créditos por operaciones comerciales con empresas del grupo","Asset","Debit","N","Y",,"493B","D",,"Algebraic","N"
49330,"Deterioro de valor de créditos por operaciones comerciales con empresas del grupo","Deterioro de valor de créditos por operaciones comerciales con empresas del grupo","Asset","Debit","N","N",,4933,"S",,"Algebraic","N"
4934,"Deterioro de valor de créditos por operaciones comerciales con empresas asociadas","Deterioro de valor de créditos por operaciones comerciales con empresas asociadas","Asset","Debit","N","Y",,"493B","D",,"Algebraic","N"
49340,"Deterioro de valor de créditos por operaciones comerciales con empresas asociadas","Deterioro de valor de créditos por operaciones comerciales con empresas asociadas","Asset","Debit","N","N",,4934,"S",,"Algebraic","N"
"A.B.III.3","3. DEUDORES VARIOS","3. DEUDORES VARIOS","Asset","Debit","N","Y",,"A.B.III","E",,"Algebraic","N"
440,"Deudores","Deudores","Asset","Debit","N","Y",,"A.B.III.3","C",,"Algebraic","N"
4400,"Deudores (euros)","Deudores (euros)","Asset","Debit","N","Y",,440,"D",,"Algebraic","N"
44000,"Deudores (euros)","Deudores (euros)","Asset","Debit","N","N",,4400,"S",,"Algebraic","N"
4404,"Deudores (moneda extranjera)","Deudores (moneda extranjera)","Asset","Debit","N","Y",,440,"D",,"Algebraic","N"
44040,"Deudores (moneda extranjera)","Deudores (moneda extranjera)","Asset","Debit","N","N",,4404,"S",,"Algebraic","N"
4409,"Deudores. facturas pendientes de formalizar","Deudores. facturas pendientes de formalizar","Asset","Debit","N","Y",,440,"D",,"Algebraic","N"
44090,"Deudores. facturas pendientes de formalizar","Deudores. facturas pendientes de formalizar","Asset","Debit","N","N",,4409,"S",,"Algebraic","N"
441,"Deudores. efectos comerciales a cobrar","Deudores. efectos comerciales a cobrar","Asset","Debit","N","Y",,"A.B.III.3","C",,"Algebraic","N"
4410,"Deudores. efectos comerciales en cartera","Deudores. efectos comerciales en cartera","Asset","Debit","N","Y",,441,"D",,"Algebraic","N"
44100,"Deudores. efectos comerciales en cartera","Deudores. efectos comerciales en cartera","Asset","Debit","N","N",,4410,"S",,"Algebraic","N"
4411,"Deudores. efectos comerciales descontados","Deudores. efectos comerciales descontados","Asset","Debit","N","Y",,441,"D",,"Algebraic","N"
44110,"Deudores. efectos comerciales descontados","Deudores. efectos comerciales descontados","Asset","Debit","N","N",,4411,"S",,"Algebraic","N"
4412,"Deudores. efectos comerciales en gestión de cobro","Deudores. efectos comerciales en gestión de cobro","Asset","Debit","N","Y",,441,"D",,"Algebraic","N"
44120,"Deudores. efectos comerciales en gestión de cobro","Deudores. efectos comerciales en gestión de cobro","Asset","Debit","N","N",,4412,"S",,"Algebraic","N"
4415,"Deudores. efectos comerciales impagados","Deudores. efectos comerciales impagados","Asset","Debit","N","Y",,441,"D",,"Algebraic","N"
44150,"Deudores. efectos comerciales impagados","Deudores. efectos comerciales impagados","Asset","Debit","N","N",,4415,"S",,"Algebraic","N"
446,"Deudores de dudoso cobro","Deudores de dudoso cobro","Asset","Debit","N","Y",,"A.B.III.3","C",,"Algebraic","N"
4460,"Deudores de dudoso cobro","Deudores de dudoso cobro","Asset","Debit","N","Y",,446,"D",,"Algebraic","N"
44600,"Deudores de dudoso cobro","Deudores de dudoso cobro","Asset","Debit","N","N",,4460,"S",,"Algebraic","N"
449,"Deudores por operaciones en común","Deudores por operaciones en común","Asset","Debit","N","Y",,"A.B.III.3","C",,"Algebraic","N"
4490,"Deudores por operaciones en común","Deudores por operaciones en común","Asset","Debit","N","Y",,449,"D",,"Algebraic","N"
44900,"Deudores por operaciones en común","Deudores por operaciones en común","Asset","Debit","N","N",,4490,"S",,"Algebraic","N"
"553A","Cuentas corrientes en fusiones y escisiones","Cuentas corrientes en fusiones y escisiones","Asset","Debit","N","Y",,"A.B.III.3","C",,"Algebraic","N"
5531,"Socios. cuenta de fusión","Socios. cuenta de fusión","Asset","Debit","N","Y",,"553A","D",,"Algebraic","N"
